Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-04-15,ETHUSD,158.61,158.61,158.61,158.61,0.0,0.0
2020-04-14,ETHUSD,156.97,162.15,155.74,158.61,18061.58,2872210.44
2020-04-13,ETHUSD,158.56,159.51,150.12,156.97,15698.32,2416728.28
2020-04-12,ETHUSD,158.66,165.37,155.21,158.56,12877.33,2082804.05
2020-04-11,ETHUSD,158.26,161.49,154.25,158.66,13761.72,2172914.57
2020-04-10,ETHUSD,171.16,171.16,152.46,158.26,35635.43,5685082.32
2020-04-09,ETHUSD,173.48,173.48,165.33,171.16,17411.01,2961186.36
2020-04-08,ETHUSD,164.7,174.81,163.78,173.48,20071.04,3407046.49
2020-04-07,ETHUSD,171.49,176.74,162.34,164.7,46133.4,7868889.66
2020-04-06,ETHUSD,143.04,172.13,142.87,171.49,59235.58,9387070.16
2020-04-05,ETHUSD,144.73,145.8,141,143.04,7986.14,1144709.14
2020-04-04,ETHUSD,141.46,146.5,138.82,144.73,19744.24,2792318.57
2020-04-03,ETHUSD,141.56,146.87,137.85,141.46,25410.75,3627551.56
2020-04-02,ETHUSD,136,150.32,135.55,141.56,34902.18,4939600.3
2020-04-01,ETHUSD,133.42,137.33,128.93,136,18294.09,2419198.2
2020-03-31,ETHUSD,132.36,135.4,130.77,133.42,15514.29,2059448.42
2020-03-30,ETHUSD,124.5,135.56,124.09,132.36,29171.17,3849322.17
2020-03-29,ETHUSD,131.27,132,123.87,124.5,9427.22,1193206.91
2020-03-28,ETHUSD,131.79,133.45,124.7,131.27,19399.49,2498254.45
2020-03-27,ETHUSD,136.98,142.38,130,131.79,16016.63,2183286.58
2020-03-26,ETHUSD,136.35,138.91,133.53,136.98,22375.26,3029630.27
2020-03-25,ETHUSD,139.14,142.88,132.87,136.35,40918.47,5631035.95
2020-03-24,ETHUSD,136.64,144.14,133.17,139.14,62191.42,8574198.2
2020-03-23,ETHUSD,122.63,138.38,119.17,136.64,63493.15,8120852.6
2020-03-22,ETHUSD,132.46,137.35,120.82,122.63,36521.05,4693199.35
2020-03-21,ETHUSD,133.39,137.67,125.79,132.46,47898.74,6328761.29
2020-03-20,ETHUSD,136.99,153.17,115,133.39,90019.86,12459506.8
2020-03-19,ETHUSD,118.68,143.5,115.9,136.99,53823.78,7065346.45
2020-03-18,ETHUSD,116.69,118.96,110.31,118.68,30654.44,3531115.96
2020-03-17,ETHUSD,111.51,121.78,109.7,116.69,33923.85,3964290.42
2020-03-16,ETHUSD,123.46,123.7,100.7,111.51,147138.58,16606701.23
2020-03-15,ETHUSD,122.37,133.9,119.49,123.46,44824.29,5541734.94
2020-03-14,ETHUSD,135.4,138.99,120.73,122.37,26037.2,3354585.45
2020-03-13,ETHUSD,109.28,144.22,86.62,135.4,179631.7,21481092.03
2020-03-12,ETHUSD,194.46,195.48,101.2,109.28,206706.03,29236156.49
2020-03-11,ETHUSD,200.79,203.01,181.67,194.46,30389.42,5856469.15
2020-03-10,ETHUSD,202.72,206.28,195.72,200.79,32294.95,6490667.65
2020-03-09,ETHUSD,199.66,208.5,189.97,202.72,50295.32,10067395.4
2020-03-08,ETHUSD,237.55,237.93,196.1,199.66,25858.35,5532549.8
2020-03-07,ETHUSD,245.83,252.16,235.67,237.55,8477.35,2046546.93
2020-03-06,ETHUSD,228.21,245.85,228.21,245.83,11640.05,2777485.78
2020-03-05,ETHUSD,224.67,234.4,224.59,228.21,27105.51,6253396.15
2020-03-04,ETHUSD,223.77,228.72,220.38,224.67,26885.16,6044020.71
2020-03-03,ETHUSD,232.15,232.82,219.93,223.77,37610.65,8493560.36
2020-03-02,ETHUSD,217.85,234.93,215.78,232.15,28849.56,6584748.01
2020-03-01,ETHUSD,217.35,227.77,212.16,217.85,17085.53,3743057.28
2020-02-29,ETHUSD,227.43,233.36,217.26,217.35,7035.9,1584874.72
2020-02-28,ETHUSD,227.14,234.38,213,227.43,18755.55,4217160.54
2020-02-27,ETHUSD,224,238.27,209.77,227.14,30282.57,6779595.21
2020-02-26,ETHUSD,246.31,249.77,215.5,224,34381.8,7997150.38
2020-02-25,ETHUSD,265.9,266.26,244.7,246.31,24946.49,6331248.51
2020-02-24,ETHUSD,275.92,278,256.64,265.9,25666.64,6875628.06
2020-02-23,ETHUSD,262.51,276.63,262.14,275.92,6000.03,1625806.17
2020-02-22,ETHUSD,265.4,266.86,256.8,262.51,5912.03,1535001.92
2020-02-21,ETHUSD,257.8,268.57,257.41,265.4,9163.59,2416096.19
2020-02-20,ETHUSD,259.07,264.59,245.47,257.8,23951.33,6126022.98
2020-02-19,ETHUSD,283.66,287.41,251.07,259.07,29267.55,7874996.28
2020-02-18,ETHUSD,267.67,286.54,259.39,283.66,24360.52,6787035.93
2020-02-17,ETHUSD,259.03,268.99,242.58,267.67,18833.8,4753849.85
2020-02-16,ETHUSD,264.94,273.96,236.56,259.03,43567.01,11015676.29
2020-02-15,ETHUSD,286.48,289.58,261.72,264.94,24828.66,6830004.26
2020-02-14,ETHUSD,268.76,287.68,260.36,286.48,12151.56,3366327.99
2020-02-13,ETHUSD,267.07,278.34,256.42,268.76,43485.43,11672447.45
2020-02-12,ETHUSD,237.9,275.82,237.9,267.07,48299.44,12491142.1
2020-02-11,ETHUSD,223.7,239.73,218.13,237.9,32170.54,7438365.38
2020-02-10,ETHUSD,228.98,229.69,217.09,223.7,20264.38,4517198.49
2020-02-09,ETHUSD,223.76,230.99,223.7,228.98,15128.75,3426412.66
2020-02-08,ETHUSD,223.03,228,213.49,223.76,22035.79,4873740.22
2020-02-07,ETHUSD,213.19,224.29,213.19,223.03,8486.64,1870513.2
2020-02-06,ETHUSD,203.93,216.2,201.09,213.19,17049.96,3559206.6
2020-02-05,ETHUSD,188.2,207.99,187.6,203.93,15342.5,3036413.33
2020-02-04,ETHUSD,189.86,191.49,183.97,188.2,8563.4,1601333.5
2020-02-03,ETHUSD,188.36,196,186.56,189.86,15685.52,2999360.26
2020-02-02,ETHUSD,183.54,193.32,178.82,188.36,15310.91,2890627.17
2020-02-01,ETHUSD,179.75,184.05,179.15,183.54,4090.5,744953.18
2020-01-31,ETHUSD,184.46,185.54,175.33,179.75,25967.47,4685813.64
2020-01-30,ETHUSD,173.55,186.88,170.54,184.46,13142.34,2351971.53
2020-01-29,ETHUSD,176.15,178.49,173.37,173.55,14301.91,2520838.5
2020-01-28,ETHUSD,169.99,176.58,169.96,176.15,11890.43,2052819.11
2020-01-27,ETHUSD,167.5,171.86,164.81,169.99,10356.25,1751751.99
2020-01-26,ETHUSD,160.12,167.5,159.14,167.5,5125.89,840401.53
2020-01-25,ETHUSD,162.53,162.6,157.43,160.12,3817.81,611327.31
2020-01-24,ETHUSD,162.62,165,155.11,162.53,7694.9,1239902.06
2020-01-23,ETHUSD,167.78,167.78,158.72,162.62,19028.44,3123591.18
2020-01-22,ETHUSD,169.21,170.99,165.63,167.78,8292.14,1395561.25
2020-01-21,ETHUSD,166.94,169.78,164.4,169.21,5977.04,1001361.75
2020-01-20,ETHUSD,166.95,169.31,161.16,166.94,21125.93,3477846.6
2020-01-19,ETHUSD,174.03,177.71,162,166.95,18208.92,3059408.18
2020-01-18,ETHUSD,170.23,179.65,165.1,174.03,10761.97,1862693.74
2020-01-17,ETHUSD,164.04,174.32,162.38,170.23,19438.79,3290628.45
2020-01-16,ETHUSD,166.1,167.23,158.48,164.04,17747.09,2869099.46
2020-01-15,ETHUSD,165.83,172,159.43,166.1,22286.47,3689315.06
2020-01-14,ETHUSD,143.78,170.62,143.78,165.83,43694.86,6873788.57
2020-01-13,ETHUSD,146.57,146.95,142.43,143.78,5901.08,847479.05
2020-01-12,ETHUSD,142.59,146.57,141.95,146.57,4002.33,578490.73
2020-01-11,ETHUSD,144.75,148.19,142.21,142.59,10286.53,1493568.17
2020-01-10,ETHUSD,137.76,145.32,135.36,144.75,13340.58,1870730.14
2020-01-09,ETHUSD,141.12,141.25,135.33,137.76,10076.43,1393155.92
2020-01-08,ETHUSD,143.13,148.18,137.33,141.12,16867.66,2391989.65
2020-01-07,ETHUSD,144.12,145.28,139.02,143.13,12391.4,1769065.13
2020-01-06,ETHUSD,135.39,148.97,134.95,144.12,34466.62,4869330.45
2020-01-05,ETHUSD,134.14,138.16,134.1,135.39,7015.13,955007.4
2020-01-04,ETHUSD,133.94,136,132.58,134.14,7537.05,1007240.83
2020-01-03,ETHUSD,126.83,134.62,125.6,133.94,22800.23,2986954.63
2020-01-02,ETHUSD,130.25,130.25,126.19,126.83,11842.45,1524409.81
2020-01-01,ETHUSD,128.84,132.57,128.07,130.25,10641.08,1385925.15
2019-12-31,ETHUSD,131,133.37,127.77,128.84,16974.13,2203671.24
2019-12-30,ETHUSD,134.21,135.77,130,131,8666.6,1149425.18
2019-12-29,ETHUSD,127.83,137.53,126.96,134.21,7721.35,1007238.88
2019-12-28,ETHUSD,126.13,129.5,125.86,127.83,3684.42,471726.68
2019-12-27,ETHUSD,125.32,126.59,122.2,126.13,5875.55,734319.61
2019-12-26,ETHUSD,124.98,132,124.18,125.32,5615.9,717059.97
2019-12-25,ETHUSD,127.66,127.66,123.4,124.98,3373.11,421274.79
2019-12-24,ETHUSD,128.14,129.49,126.66,127.66,3701.21,473302.17
2019-12-23,ETHUSD,132.35,135.19,126.23,128.14,12091.86,1589709.81
2019-12-22,ETHUSD,126.96,133.37,126.9,132.35,4969.42,650100.49
2019-12-21,ETHUSD,128.48,128.48,126.68,126.96,2450.96,312145.66
2019-12-20,ETHUSD,128.07,129.4,125.02,128.48,14267.16,1809094.42
2019-12-19,ETHUSD,132.96,134.04,125.81,128.07,8430.62,1076916.36
2019-12-18,ETHUSD,121.88,134.94,116.21,132.96,15469.88,1929000.81
2019-12-17,ETHUSD,132.51,132.62,120,121.88,17516.79,2222492.04
2019-12-16,ETHUSD,142.33,142.46,129.2,132.51,16840.73,2275811.11
2019-12-15,ETHUSD,141.74,144.08,140,142.33,2757.41,390514.91
2019-12-14,ETHUSD,144.7,145,141.18,141.74,2316.42,331616.84
2019-12-13,ETHUSD,144.77,145.04,142.86,144.7,4756.42,685303.3
2019-12-12,ETHUSD,143.17,145.47,139.02,144.77,10856.41,1548894.02
2019-12-11,ETHUSD,145.69,146.3,142.02,143.17,3412.98,489371.27
2019-12-10,ETHUSD,147.36,148.16,144,145.69,3618.29,529033.96
2019-12-09,ETHUSD,150.66,151.45,146.75,147.36,4802.37,717008.54
2019-12-08,ETHUSD,147.29,151.99,146.4,150.66,3394.14,508222.2
2019-12-07,ETHUSD,148.83,149.82,147,147.29,1413.74,209217.88
2019-12-06,ETHUSD,147.85,149.85,145.9,148.83,5989.8,884316.75
2019-12-05,ETHUSD,145.49,148.87,143.78,147.85,7803.54,1142707.1
2019-12-04,ETHUSD,147.52,152.36,143.46,145.49,15381.08,2266750.56
2019-12-03,ETHUSD,149,149.95,145.92,147.52,5054.93,748179.44
2019-12-02,ETHUSD,151.59,151.68,146.9,149,5055.52,751937.21
2019-12-01,ETHUSD,151.8,152.28,146.16,151.59,6353.82,943172.41
2019-11-30,ETHUSD,154.44,155.51,150,151.8,3872.94,591577.9
2019-11-29,ETHUSD,151.06,157.64,150.96,154.44,7020.08,1081831.58
2019-11-28,ETHUSD,152.91,154.79,149.52,151.06,5098.31,774256.44
2019-11-27,ETHUSD,147.67,155.77,141,152.91,21680.21,3183984.82
2019-11-26,ETHUSD,146.09,149.99,143.77,147.67,9324.78,1363642.04
2019-11-25,ETHUSD,140.23,151.69,132.03,146.09,31920.12,4555565.57
2019-11-24,ETHUSD,152.29,152.82,138.96,140.23,12170.7,1792166.23
2019-11-23,ETHUSD,150.31,154.44,146.5,152.29,5959.93,897204.51
2019-11-22,ETHUSD,160.8,162.34,137.8,150.31,44638.35,6669258.27
2019-11-21,ETHUSD,174.24,175.2,155.57,160.8,17884.96,2912463.25
2019-11-20,ETHUSD,175.5,177.25,173,174.24,8437.23,1474146.49
2019-11-19,ETHUSD,177.96,178.07,172.51,175.5,7395.08,1292675.32
2019-11-18,ETHUSD,183.93,183.93,174.43,177.96,9068.95,1623442.68
2019-11-17,ETHUSD,182.41,186.3,179.98,183.93,1307.01,239805.57
2019-11-16,ETHUSD,179.95,183.43,179.23,182.41,1425.72,258550.02
2019-11-15,ETHUSD,184.58,186.53,177,179.95,9777.54,1779681.4
2019-11-14,ETHUSD,187.81,188.42,182.8,184.58,6136.44,1132186.74
2019-11-13,ETHUSD,186.98,189.4,185.14,187.81,5799.04,1087896.05
2019-11-12,ETHUSD,184.79,187.16,182.06,186.98,8106.69,1500093.94
2019-11-11,ETHUSD,188.97,189.95,183.84,184.79,5750.52,1073506.85
2019-11-10,ETHUSD,184.89,192.12,183.47,188.97,5335.46,1010909.59
2019-11-09,ETHUSD,183.9,185.75,182.76,184.89,1900.02,349919.93
2019-11-08,ETHUSD,186.52,188.1,180.7,183.9,4875.09,895589.9
2019-11-07,ETHUSD,191.38,192.27,184.5,186.52,8520.42,1603400.14
2019-11-06,ETHUSD,188.92,194.79,188,191.38,10576.99,2013231.41
2019-11-05,ETHUSD,186.28,192.64,182.51,188.92,16736.98,3149861.84
2019-11-04,ETHUSD,181.65,189.43,180.5,186.28,4527.82,840449.04
2019-11-03,ETHUSD,183.25,185.11,179.02,181.65,2189.88,397239.01
2019-11-02,ETHUSD,183.26,186.27,182.02,183.25,2697.45,497422.14
2019-11-01,ETHUSD,182.43,184.93,177.31,183.26,8417.44,1522175.84
2019-10-31,ETHUSD,183.15,185.33,178.01,182.43,8221.46,1494354.29
2019-10-30,ETHUSD,191.32,192.02,180.11,183.15,10424.7,1918690.23
2019-10-29,ETHUSD,182.16,193,181.83,191.32,11583.47,2171208.82
2019-10-28,ETHUSD,184.22,189.82,180.88,182.16,10517.56,1929065.54
2019-10-27,ETHUSD,180.28,189.12,177.31,184.22,4581.69,850197.83
2019-10-26,ETHUSD,181.65,199.38,173.91,180.28,17696.01,3316896.93
2019-10-25,ETHUSD,161.25,187.78,160.7,181.65,15497.86,2742396.73
2019-10-24,ETHUSD,162.7,163.78,159.06,161.25,7506.65,1208874.28
2019-10-23,ETHUSD,171.46,171.49,153,162.7,35005.88,5649762.07
2019-10-22,ETHUSD,174.63,175.5,170.7,171.46,5743.54,993754.32
2019-10-21,ETHUSD,175.56,177.9,171.93,174.63,6354.4,1107398.13
2019-10-20,ETHUSD,172.02,176.8,169.62,175.56,5571.16,969605.05
2019-10-19,ETHUSD,172.77,175.09,169.87,172.02,4031.79,691203.78
2019-10-18,ETHUSD,177.3,177.4,168.41,172.77,10244.05,1770138.16
2019-10-17,ETHUSD,174.35,179,172,177.3,18735.88,3263155.93
2019-10-16,ETHUSD,180.68,181.32,171.59,174.35,10030.72,1762463.92
2019-10-15,ETHUSD,186.68,188.43,177.08,180.68,15958.96,2901347.66
2019-10-14,ETHUSD,181.04,187.97,180.59,186.68,15144.8,2787898.51
2019-10-13,ETHUSD,180,184.69,178.84,181.04,4847.68,881111.22
2019-10-12,ETHUSD,180.74,184.83,177.44,180,8209.89,1482316.88
2019-10-11,ETHUSD,191.65,197.77,179.61,180.74,16729.07,3125312.02
2019-10-10,ETHUSD,193.23,194.89,187.47,191.65,6654.78,1273103.83
2019-10-09,ETHUSD,180.95,198,179.29,193.23,22605.98,4302753.79
2019-10-08,ETHUSD,180.2,185.09,177.59,180.95,7278.95,1312394.28
2019-10-07,ETHUSD,170.15,182.6,168.98,180.2,8879.98,1581312.85
2019-10-06,ETHUSD,176.22,177,167.6,170.15,5950.52,1014063.19
2019-10-05,ETHUSD,176.16,177.13,172.11,176.22,1987.68,347888.37
2019-10-04,ETHUSD,175,179.47,170.84,176.16,7481.29,1311030.03
2019-10-03,ETHUSD,180.78,181.07,169.81,175,9688.15,1686674.49
2019-10-02,ETHUSD,176.05,181.9,174.21,180.78,9292.69,1647155.59
2019-10-01,ETHUSD,181,185.75,173.85,176.05,15446.38,2764711.89
2019-09-30,ETHUSD,169.27,181.87,165.11,181,18264.49,3178679.18
2019-09-29,ETHUSD,173.93,174.71,164.7,169.27,4903.69,826860.71
2019-09-28,ETHUSD,174.36,175.87,168.57,173.93,7671.42,1331132.93
2019-09-27,ETHUSD,165.85,177.08,161.17,174.36,15727.34,2638507.58
2019-09-26,ETHUSD,169.87,170.93,152.11,165.85,26159.49,4253476.11
2019-09-25,ETHUSD,166.15,175,162.47,169.87,16209.66,2728669.98
2019-09-24,ETHUSD,200.68,202.69,152.39,166.15,57331.2,9978628.61
2019-09-23,ETHUSD,211.37,211.41,198.34,200.68,11158.06,2298918.33
2019-09-22,ETHUSD,215.16,215.23,206.12,211.37,6283.79,1319047.96
2019-09-21,ETHUSD,218.59,221.4,214,215.16,5753.27,1245411.38
2019-09-20,ETHUSD,220.29,220.49,212.01,218.59,7633.77,1655313.62
2019-09-19,ETHUSD,210.4,224.71,202.34,220.29,15095.37,3217431.93
2019-09-18,ETHUSD,208.15,217.25,208.15,210.4,12092.71,2581878.39
2019-09-17,ETHUSD,197.8,215,196.27,208.15,16399.13,3363033.45
2019-09-16,ETHUSD,189.49,199.75,188.58,197.8,15868.37,3084006.98
2019-09-15,ETHUSD,188.83,191.03,186.5,189.49,4802.9,907427.83
2019-09-14,ETHUSD,181.43,189.95,180.32,188.83,5842.43,1087778.85
2019-09-13,ETHUSD,180.88,181.8,177.7,181.43,4494.36,806668.4
2019-09-12,ETHUSD,178.47,182.6,176.45,180.88,2749.15,491636.33
2019-09-11,ETHUSD,179.61,182.7,173.7,178.47,12741.56,2270428.1
2019-09-10,ETHUSD,181.04,184.35,176.68,179.61,8576.85,1544625.31
2019-09-09,ETHUSD,181.43,185.94,176.14,181.04,10756.78,1939475.72
2019-09-08,ETHUSD,178.36,184.54,176.62,181.43,9819.85,1776759.21
2019-09-07,ETHUSD,168.93,180.9,168.93,178.36,11821.39,2074152.2
2019-09-06,ETHUSD,175.35,178.5,164.83,168.93,25478.3,4370740.09
2019-09-05,ETHUSD,175.08,178.87,169.44,175.35,10183.72,1753541.31
2019-09-04,ETHUSD,179.12,180.35,173.47,175.08,9368.13,1656902.43
2019-09-03,ETHUSD,178.79,183.3,173.72,179.12,14758.53,2646200.96
2019-09-02,ETHUSD,171.2,181.67,170.59,178.79,9283.76,1638376.4
2019-09-01,ETHUSD,171.95,174.04,168.02,171.2,3168.83,541222.72
2019-08-31,ETHUSD,168.18,174.5,166.38,171.95,2069.81,351404.07
2019-08-30,ETHUSD,168.82,170.33,165.63,168.18,6864.1,1157776.47
2019-08-29,ETHUSD,172.87,173.39,163.6,168.82,17309.71,2917993.81
2019-08-28,ETHUSD,187.17,188.09,165.71,172.87,26040.43,4573997.16
2019-08-27,ETHUSD,188.44,189.12,184.56,187.17,3867.55,721788.35
2019-08-26,ETHUSD,186.42,193.85,185.79,188.44,7748.66,1470849.58
2019-08-25,ETHUSD,190.82,192.89,182.74,186.42,4466.9,836543.93
2019-08-24,ETHUSD,194.81,194.81,186.42,190.82,4501.41,853072.36
2019-08-23,ETHUSD,193.58,196.6,188.86,194.81,7206.3,1387654.09
2019-08-22,ETHUSD,186.71,194.91,182.66,193.58,10793.06,2043759.33
2019-08-21,ETHUSD,196.47,196.67,180,186.71,20439.2,3830603.36
2019-08-20,ETHUSD,202.63,202.94,194.63,196.47,11086.94,2190411.86
2019-08-19,ETHUSD,194.67,203.57,193.08,202.63,12880.33,2566365.59
2019-08-18,ETHUSD,185.49,198.03,183.4,194.67,6417.62,1235359.38
2019-08-17,ETHUSD,185.29,187.19,181.99,185.49,2877.2,530026.36
2019-08-16,ETHUSD,187.98,188.14,177.99,185.29,24361.46,4447309.44
2019-08-15,ETHUSD,186.21,189.69,173.58,187.98,47875.68,8726927.4
2019-08-14,ETHUSD,208.21,209.03,181.71,186.21,50045.75,9728853.78
2019-08-13,ETHUSD,211.15,211.2,202.91,208.21,19356.4,4014606.15
2019-08-12,ETHUSD,216.06,216.06,209.49,211.15,6168.58,1307435.29
2019-08-11,ETHUSD,206.17,216.54,205.88,216.06,6528.18,1384326.03
2019-08-10,ETHUSD,210.12,214.43,200.75,206.17,16805.48,3452036.0
2019-08-09,ETHUSD,219.19,220,206.89,210.12,16880.64,3585468.12
2019-08-08,ETHUSD,226.1,226.78,214.5,219.02,11390.82,2517818.7
2019-08-07,ETHUSD,225.98,231.22,220.12,226.1,15481.23,3484463.4
2019-08-06,ETHUSD,232.9,239.14,222.61,225.98,16814.92,3864896.3
2019-08-05,ETHUSD,222.96,236.8,222.96,232.9,15598.61,3598522.86
2019-08-04,ETHUSD,221.67,223.89,217.33,222.96,2894.3,638130.89
2019-08-03,ETHUSD,217.51,224.5,216.53,221.67,9468.13,2096479.79
2019-08-02,ETHUSD,217.47,222.58,215,217.51,8635.88,1884233.17
2019-08-01,ETHUSD,218.47,218.91,211.58,217.47,10628.72,2278275.65
2019-07-31,ETHUSD,209.77,218.92,209.77,218.47,7222.67,1553455.71
2019-07-30,ETHUSD,210.83,214.77,203.66,209.77,8428.75,1771852.58
2019-07-29,ETHUSD,210.81,215.23,205.52,210.83,7639.34,1599822.25
2019-07-28,ETHUSD,207.07,213.59,197.77,210.81,8926.41,1838701.56
2019-07-27,ETHUSD,219.58,223.8,202.01,207.07,12252.16,2608194.81
2019-07-26,ETHUSD,219.9,220.78,212.79,219.58,4618.86,1005454.01
2019-07-25,ETHUSD,216.51,225.9,215.41,219.9,11202.46,2467617.18
2019-07-24,ETHUSD,212.36,218.1,201.02,216.51,14012.25,2925929.85
2019-07-23,ETHUSD,216.89,219,208.36,212.36,12407.36,2642536.15
2019-07-22,ETHUSD,225.55,228.01,211.43,216.89,21042.58,4587244.95
2019-07-21,ETHUSD,228.5,229.58,217.85,225.55,3451.25,773715.97
2019-07-20,ETHUSD,221.53,236,220.6,228.5,16533.61,3778342.37
2019-07-19,ETHUSD,226.33,226.7,213.16,221.53,17892.09,3928710.89
2019-07-18,ETHUSD,211.61,229.49,206.56,226.33,30930.45,6776966.94
2019-07-17,ETHUSD,198.71,220,192.19,211.61,40025.17,8218606.94
2019-07-16,ETHUSD,227.95,234.38,190,198.71,73540.97,15328018.66
2019-07-15,ETHUSD,226.33,235.97,202.61,227.95,74532.07,16544190.21
2019-07-14,ETHUSD,269.52,270.04,222.92,226.33,41365.69,9928954.25
2019-07-13,ETHUSD,275.59,275.97,261.89,269.52,5892.68,1584919.51
2019-07-12,ETHUSD,267.72,279.55,266.62,275.59,8657.95,2371815.96
